2.69,19.46,30.58,600102.54,51853.12
2.69,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.70,19.64,30.58,600102.54,51853.12
2.72,19.82,30.97,600102.94,51844.93
2.73,19.82,30.97,600102.94,51844.93
2.73,19.82,30.97,600102.94,51844.93
2.73,19.82,30.97,600103.35,51836.75
2.76,20.00,31.37,600103.35,51836.75
2.76,20.00,31.37,600103.35,51836.75
2.76,20.00,31.37,600103.35,51836.75
2.76,20.00,31.37,600103.35,51836.75
2.76,20.00,31.37,600103.35,51836.75
2.76,20.00,31.37,600103.35,51828.56
2.77,20.18,31.78,600103.75,51828.56
2.77,20.18,31.78,600103.75,51828.56
2.78,20.18,31.78,600103.75,51828.56
2.78,20.18,31.78,600103.75,51828.56
2.78,20.18,31.78,600103.75,51828.56
2.78,20.18,31.78,600103.75,51828.56
2.78,20.18,31.78,600103.75,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.80,20.36,32.19,600104.17,51820.36
2.81,20.36,32.19,600104.17,51820.36
2.81,20.36,32.19,600104.17,51820.36
2.81,20.36,32.19,600104.17,51812.16
2.82,20.54,32.60,600104.58,51812.16
2.82,20.54,32.60,600104.58,51812.16
2.82,20.54,32.60,600104.58,51812.16
2.82,20.54,32.60,600104.58,51812.16
2.82,20.54,32.60,600104.58,51803.96
2.84,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51803.96
2.85,20.72,33.01,600105.00,51795.75
2.86,20.90,33.43,600105.42,51795.75
